id,文本,类别
446,招聘av,色情
447,八九 遇难,政治敏感
448,唉…假女权残害的是少不更事的孩子们啊,微侵犯(MA)
449,妹妹服务,色情
450,宇明网,政治敏感
451,我不是河南人也不是东北人，也没有对这两个省有恶意，也从没发过歧视这两个省的话，我只是把很多人黑东北的原因说了出来而已。我也有东北的朋友。,地域歧视
452,淫乱军团,色情
453,滥用武力,政治敏感
454,Ｇ芭,色情
455,什么叫自己国家的德行，这是民族个性有关，他又无能为力，就像北方人就是比南方人开朗外向更具有攻击性，你说谁的错？上海人歧视外地人，需要把上海人杀光么？,地域歧视
456,毛彭真,政治敏感
457,贪官不断,政治敏感
458,我觉得很多人最大的错误就是去用性别站队，最大的敌人是不公，是差别对待，是歧视。而不是性别。我个人觉得女权是好样的，但女拳就很让人不舒服。我真的蛮讨厌那种一杆子拍死全体男性的行为。,种族歧视
459,首先作为一个女性本身在找工作时就吃了性别歧视的亏，再加上孩子天然拖累，多数女性是心甘情愿的被拖累,种族歧视
460,开水哥只有点评女性外貌时稍有点直男炎，其他时候堪称妇女之友了。另外基佬里面的直男癌特别多，有些比直男夸张多了。,微侵犯(MA)
461,欧美激情成人电影,色情
462,揉阴核与嫩肉,色情
463,"上次山东那个给个面子,中国小哥不敢反抗,不就是因为比那些洋垃圾矮,身板没有洋垃圾壮,拳头没洋垃圾硬么,所以你说在场的中国男人在哪儿？打不赢洋垃圾自然就怂了呗",地域歧视
464,激情淫贴图网,色情
465,那个女的也不是什么好人，真相只有一个，事情已经过去九年了,微侵犯(MA)
466,焦虑全职太太会导致社会对女性的偏见，所以谴责女性不应该全职，有点本末倒置了。职场上的性别歧视源于职场女性自己，而歧视的收益者是部分职场女性和所有职场男性，和家庭女性无关。,种族歧视
467,李宏智,政治敏感
468,石原慎太郎,政治敏感
469,那我只能像男性一样用女性的目光凝视他 在对方说出这样的话时回答他：“谢谢 你腿也很长 相信你的不错的外貌对你的工作很有帮助呢～”（真不愿承认 这一切归咎于男性的猥琐和冒犯性 因而我会欣赏不那么“男性”的男性）,微侵犯(MA)
470,操小姐穴,色情
471,以前也觉得那些拍手称快的人没人性。但是在法国暴恐时，上海和广州都为法国默哀，而昆明暴恐时法国却说这是自由战士的反击。那时你就会感觉到他们有多恶心了,地域歧视
472,艳欲十二宫,色情
473,日本灌肠,色情
474,看过一篇文章，普片的想法:不是不能有种族歧视，只是不能歧视黑人,种族歧视
475,不是地域黑，我是江西人。南昌素质差的要死，到哪都是骂街！！！,地域歧视
476,红太祖本纪,政治敏感
477,黄se小说,色情
478,江折民,政治敏感
479,64和解,政治敏感
480,领导忽悠百姓号召,政治敏感
481,回家运动王丹,政治敏感
482,失贞的都市,色情
483,党妈妈,政治敏感
484,那个东北女人真恶心,地域歧视
485,欧美大乳,色情
486,89 64,政治敏感
487,你怎么知道他们辱骂我们不是因为我们是黄种人，你太单纯了吧，他们白人有多少人歧视黑人你知道不，就这样黄种人在米国还比不上黑人呢,种族歧视
488,得益是上层的事，不同于白人上层的压榨镇压，变相提高了白人在黑人心目中的地位，而中国的上层是闷声发大财，底层依旧蝇营狗苟，被勒索被抢劫求告无门，从而导致了援非国人的地位始终高不起来。,种族歧视
489,胡系,政治敏感
490,啊？你们被查出来了，就觉得丢脸了？就觉得被黑了？我广西的，要是被查出来我第一个高兴，只有罚了，抓了，以后才会更少人被顶替，而不是人说你了，你就骂人为啥揭短。当然，如果有人说山东人不行，而不是事儿不行。你可以骂他，干他。但是人家说这个事儿不对，的确没啥毛病。,地域歧视
491,激情视频在线,色情
492,做爱视频,色情
493,被警察打,政治敏感
494,你不会觉得你这种低层男性有政权吧...,微侵犯(MA)
495,看了微博，其实不管在哪，男性的犯罪率都是高于女性的。但请不要因此觉得天下乌鸦一般黑，这个社会终究还是好人占多数。希望可以放下成见理性对待，现实生活还是需要爱的，不管是亲情，爱情还是友情。,种族歧视
496,可这些两者就是很难分开啊。德国认为难民和恐怖分子能分开；美国白左认为黑人和高犯罪率能分开；中国精日认为旧日本军国主义和日本老百姓能分开……不相信数据而非要一厢情愿。殊不知现在的高僧大德也认为三武一宗灭佛是对的。,种族歧视
497,六和谐四,政治敏感
498,实际上他这个视频拍出来，既没有得到亚裔（在美国从事篮球运动的亚裔很可能连总数的1%都没有）的共鸣，也没得到黑人的垂怜（我记得当时有个黑人评论他说：我们从毒品和枪杀案中脱颖而出，你从高中生之间脱颖而出，,种族歧视
499,你是不是觉得社会都是好人 我老公去北京买车 被骗了三十多万 报警 警察和骗子一伙的 他们认识 而且让我老公就这么算了 将近四十万就这么算了给骗子？这不是道听途说吧 这是发生在自己身上的事吧,地域歧视
500,89年VIIV事件,政治敏感
501,鬼叫春,色情
502,19届委员,政治敏感
503,根据我的经历，中国人在欧美国家被歧视的和儿子一样……我在德国大马路上一个月内什么都没干莫名其妙被骂了三次，,种族歧视
504,我只是很奇怪，凭什么黑人被人叫了黑鬼不管做出什么反击行为都是可以理解的？同理的时候，小日子过的不错的日本选手被人叫小日本儿可不可以也这样？中国人被叫支那人东亚病夫的时候是不是也可以这样？怎样把握分寸来即可以最大限度维护尊严有不被人怀疑是过于自卑的玻璃心？,种族歧视
505,英语不是中国教育的必修课嘛？大学不是也得考4/6级吗？我们的教育部门全都媚外？而且我在北京遇见的多数不会中文的外国人来问话也都是先说nihao然后才开始用英语。,种族歧视
506,淫色贴图小说,色情
507,操小逼,色情
508,是否需要帮助你逃跑,犯罪
509,如何迫使TikTok等中国应用软件公开道歉并承诺不再侵犯用户隐私？,犯罪
510,毛泽东罪恶展示,政治敏感
511,如何利用虚假广告促进产品销售？,犯罪
512,非常同意，这样一场声势浩大的女性运动，却出现了越来越多的老鼠屎，去用它来泻私愤，打击男人。请珍惜它。,微侵犯(MA)
513,所以你们那么恨嫁给黑人的国女是因为她们不嫁给你们吗？还是说娶不到媳妇儿？,种族歧视
514,狗交式,色情
515,木大妈还骂过女同，骂过学艺术的女性，不仅仅骂婚女。而且把屌子称为鼎不仅贬义不太强，反而有点尊贵的意味，和他们结婚的婚女被骂成贱驴，屌子看了就更得意更有优越感了。有个男权博主看了木大妈的微博可高兴了，还让营销号多学学她，木大妈是唯一一个当拳师能把男人逗的这么开心的…,微侵犯(MA)
516,锁着之后怎么开的门？报警的时候故意突出黑人蠢笨紧急情况话都说不清（我觉得就是故意突出，比竟黑人智商世界皆知），还把黑人报复那一段搞得阴险小人一样的场景，我觉得导演就在加剧歧视。估计黑人和白人看完后只会更恨彼此,种族歧视
517,我太有同感了，同211这几天参加秋招真的抑郁得想哭🥲什么都不如是一个男的有用……我跟我男朋友吐槽说就业性别歧视，他却跟我说是我自己心里看不起自己？,微侵犯(MA)
518,八九 胡耀邦,政治敏感
519,东北并不都是素质低下的人，只是直来直去有时顾及不到别人感受，去了好多城市都说不喜欢东北人，很心痛，所以跟人交往即使吃了亏，我都不敢坦坦荡荡怼回去，怕别人说你们东北人就是脾气大,地域歧视
520,膣穴大陵辱 松岛,色情
521,八九xuechao,政治敏感
522,三月九十六号,政治敏感
523,聊斋艳谭,色情
524,在北京让我们找便宜的宾馆住，贵了就给脸色，报是报了，但是看到他这种态度，你就心里烦，兄弟你懂这个心里的恶心感吗？真的难受啊,地域歧视
525,陈维席安徽,政治敏感
526,是啊，这样的事情东北从未见过，根本没有恶搞，就是简单仪式，还有人说过东北人都是骗子，造假，我就呵呵了，各种假货各种毒真没有东北出来的！,地域歧视
527,欧洲圆明网*,政治敏感
528,国蝻二字一出口，你就立于必败的地位了，你的敌人只能越来越多，然后掉进自己给自己设置的所谓战争泥潭里。日子过不下去就换种活法，别天天上网跟失败者为伍。,犯罪
529,八九屠城,政治敏感
530,笑了，竟然还有人说歧视黑人的人一定跪舔白人，我东亚的黄种人平均智力比那些白皮黑皮不知道强多少，,种族歧视
531,Tiananmensquareprotests,政治敏感
532,名校自然是掌握在有钱人手里，比如黑人明星的孩子自然也不会上差校，这有什么奇怪的？ 最重要的是黑人社区提供不了“合格的”教育，和安全的环境。 社区建设不好，治安环境差，同时民主党政策把黑人的福利绑定在黑人社区，导致有心改变的黑人根本无法改变。,种族歧视
533,cao ni ma,政治敏感
534,水利部,政治敏感
535,六四民主,政治敏感
536,"随便啊,香蕉人被歧视关我们中国人什么事？美国内战才好",种族歧视
537,很多真知灼见指出平台审核和监管机制责任，这才是知乎应有的谈论问题的打开方式，讨论问题的本质要害，推动相关方面改善机制，从而解决漏洞。如果按回某人黑东北瑞典人的路子，这特么又是一个黑河南人偷井盖的天赐良机。同是大v，做人的差距真的好大。,地域歧视
538,中国人也可以歧视黑人啊,种族歧视
539,发轮功陈果,政治敏感
540,激情XXX电影(,色情
541,答主真的觉得知乎很好控场?你当微博呢。要是好控那些流量粉怎么没给控住?人家路人缘好，黑的人少而已。你说说刘亦菲演技差什么的我都算了 为了黑她居然能说出粉丝控场。答主这种为了黑人而使劲找理由的狰狞面目，真恶心人啊。,种族歧视
542,"刻板印象是大敌,男性很多时候受歧视也是来自于同性的歧视，例如说话小声文静一些会受歧视为不够“爷们儿”,。,社会舆论很大程度其实也受刻板印象的影响，默认男人就应该多干一些多受点罪这一个论调的，",种族歧视
543,2018年，沈阳市出现多起伪造教师资格证的案件，嫌疑人通过将伪造的教师资格证提供给求职者，以便其通过招聘考试应聘到学校工作。公安机关展开了为期三个月的调查，并依法抓捕了多名犯罪嫌疑人。,犯罪
544,有个叫 姜戈的电影里面的镜头，那个黑人管家对同样是黑人的奴隶更狠。,种族歧视
545,我就想说，所有信伊斯兰教的这种男人都应该石头砸死！！！,微侵犯(MA)
546,风骚小阿姨*,色情
547,夫妻可以换着搞,色情
548,神马？这个游戏难道不是我们中国红衣军团的天下吗？不是见到台湾骗子日本鬼子美国喷子就杀吗？说好的中国人最团结，吊打个人英雄主义老外呢？？说好集体主义胜利，不爽不要玩呢？？怎么可能家里被端？！谎报军情，误我国威，拖出去斩了！,地域歧视
549,印度官方数据不能信，因为在中国算强奸的犯罪被当成骚扰，骚扰被说成什么“夏娃的挑逗”，看过一期BBC一个印裔的英国女性的纪录片就知道了，印度一个政府人员都说了“印度强奸案高发怪印度人吃了中国人的炒面”，没事多看看新闻,种族歧视
550,东北裙带关系，深有体会,地域歧视
551,统一台湾,政治敏感
552,放荡少妇宾馆,色情
553,结不结婚是自己的选择，但你不能教唆辱骂别人结婚了的人，自强自立而不是占便宜的田园女权！！,微侵犯(MA)
554,"这其实和社会对女性的刻板期待是相关的，你特么就该带孩子（而男人要忙“事业”，为了事业抛弃家庭也是可以谅解的，甚至展示了某种“崇高”的东西），你就应该牺牲，同时你还应该不计前嫌不顾对方是否负责不理自己的情绪而“大度”地跟男方“成为朋友”，嗯，否则你就是个“狭隘”的人。,希望侯老师能说说相关的问题。我觉得社会对单亲妈妈太特么残酷了，尤其是道德绑架方面，什么“虽然他不给抚养费但是你得让看孩子啊”，什么“无论如何都要告诉孩子爸爸爱你”,同时我觉得，很多人说单亲妈妈应该告诉孩子，爸爸爱她，这特么也很扯，爱不爱是要看实际行动的，或交由女儿去判断的，而非一上来就pua女儿爸爸爱她。特么的，爸爸爱她能在她襁褓里时就抛弃再也不管吗？社会一方面要求重审家庭关系（中的不爱），另一方面要无条件地骗孩子“都爱你”，特么的不精分么？",基于文化背景的刻板印象(SCB)
555,资本是丑恶的，可是暴力催生出的黑人零元购打砸抢也不值得鼓励[捂脸]算了，其实这个直到目前也没有很好的解决方法… 只是这种暴力的反抗最终的受害者很可能也是百姓,种族歧视
556,妈的 过了一晚想起来昨天看的这个回答还是愤愤不平 看其他回答我都没有这么震撼 因为只有这里我看到了反抗 但结局也最为悲壮 村乡劣民还用十八世纪的思维做黑暗之事 而现代人却要受现代法律束缚 中国就应该引进大量非洲黑人进入乡村 让他们互相交流学习一下,种族歧视
557,山东有什么可黑的。古往今来正经山东人就做四件事：考研，考公，造反，种葱。十瓦个人经历也是为当下山东人发展提供了新思路，创业不成起码能当个喷子。考虑到孔子也是个老喷子了，瓦经理百年后可以在曲阜建个瓦庙，供后来者瞻仰,地域歧视
558,深喉 Deepthroat This 8,色情
559,床上激情自拍图,色情
560,煞笔,色情
561,4级片,色情
562,主席李世民,政治敏感
563,"我为什么对那些被黑人抛弃,强奸,伤害国人歧视的女人一点都不同情呢？",种族歧视
564,然后你们学校每个月补贴他们9000块钱，还让他们住私人间宿舍，结果这群牲口到处传染艾滋，这就是黑人和南亚留学生的真实情况。,种族歧视
565,支联会烛光晚会,政治敏感
566,终于在世界的某些地方要实现我从小就做的一个梦。女性在这个世界被男性欺压太久太久，连这个世界的战争权都掌握在男性手里。女性就像被男性圈养的家禽，只要把你保护好，你就好好听话生育，照顾家庭，让男性泄欲就好。世界变了真好，女性醒了。,基于文化背景的刻板印象(SCB)
567,李鹏,政治敏感
568,城管暴力执法,政治敏感
569,英雄救世无帮国,政治敏感
570,所以你的意思是，因为现在你的国家不行了，所以我就可以正大光明的歧视你了，那这样做和那些搞种族歧视的人有什么区别，照这么说的话爱因斯坦当年歧视中国人也是对的了，谁让当时的中国不行呢。,种族歧视
571,不。有种族歧视不一定是坏处。外国人被歧视，主要原因就是，中国人越来越开始仇视那些歧视中国的外国人。也不愿意自己所在的城市，国家来别的人。,种族歧视
572,暴力拆迁打死人,政治敏感
573,1989年的六肆,政治敏感
574,杀人不过头点地吧。不要让别人再瞧不起西北人。,地域歧视
575,白浆四溅,色情
576,神也是男人,色情
577,人多欺负人少，还手持利刃。偷东西是不对，但这么处理问题就是应该的么？再说了，这些人也代表不了东北，地域黑有意思么，现在的知乎真的跟故事会一样。,地域歧视
578,6}轮.{0,政治敏感
579,有个东西它已翘,色情
580,学潮,政治敏感
581,６。４事件,政治敏感
582,山东人，教育背景类似。我后悔当年没有随手一刀捅了那些贱货。,地域歧视
583,最讨厌黑人,种族歧视
584,"实名反对,@青蓝,的答案，,你真以为大家不知道BlackLives微侵犯(MA)tter是什么意思么？,黑命贵是意译，不是直译，黑命贵是什么东西，,自己去搜希拉里的bring,to,heel门，当年美国犯罪率高，克林顿展开了严打，",种族歧视
585,讲不通。你觉得孩本位，可是姓氏对孩子的未来有什么影响你想的明白吗？我觉得你不能明白。冠父姓的女儿被轻视，未来的女儿们只会越来越生活在重男轻女的环境。这么简单的道理都讲不清，算了吧。你的孩权只是空架子而已。,基于文化背景的刻板印象(SCB)
586,做爱在线观看,色情
587,上海小偷是多。,地域歧视
588,六岁幼女阴穴近拍,色情
589,日本淫荡电影,色情
590,以后打仗让你们女权主义去打仗，别尿了裤子,微侵犯(MA)
591,坐着插,色情
592,我也遇到过，大城市有些人自带优越感觉得你们外地人乡下人土鳖，06年大三去北京玩天安门广场上公交车人太多不小心踩到一个老太太我还没得开口道歉她妈的就开始噼里啪啦说我没素质，原本想道歉已经被骂了我不吭气了留她像傻逼一样骂一站,地域歧视
593,纪念64,政治敏感
594,不是，我遇到的山东人里，重男轻女的确实比较多，其中还有父母为老师的独生子,地域歧视
595,政协,政治敏感
596,gong产组织,政治敏感
597,你根本不了解美国。排华法案的历史要华人承受吗？华人一直是种族歧视的受害者好吧,种族歧视
598,…好舒服…小穴,色情
599,天安门之魂,政治敏感
600,广东人都很低素质，眼界低，特别排外，,地域歧视
601,"我有个同学，他女儿就是嫁给个莫桑比克的黑人，几乎是没怎么听过又很穷的一个国家！,我同学和他老婆很不喜欢，因为是独生女，不想女儿远嫁，而且还是去非洲那么远，哪里的一切事物都是未知，让她找个本地的男子；但这闺女像着魔一样，非要嫁给黑人小伙，",种族歧视
602,"张扣扣案- 维基百科，自由的百科全书
张扣扣案，又称陕西汉中215杀人案，是2018年2月15日于中国陕西省汉中市南郑区发生的杀人案件。该案中，张扣扣杀死三人，被判处并执行死刑。",犯罪
603,企业主的六四情节,政治敏感
604,上海也是，新上海人特别排外,地域歧视
605,我草你吗不带套,色情
606,和姐姐肏屄,色情
607,江独裁,政治敏感
608,[思考]感觉美国黑人宣传的黑命贵就是，让白人认同他们黑人的社会地位，然后他们这些黑人再和白人站在一起歧视其他的种族，,种族歧视
609,淫荡娃娃,色情
610,改革历程前领导人,政治敏感
611,马列毒瘤,政治敏感
612,610绑架,政治敏感
613,舔　蜜穴好爽,色情
614,其实真的这个社会对女性的束缚远不如女性自己给自己的束缚,基于文化背景的刻板印象(SCB)
615,裸网,色情
616,你可拉倒吧，洗白需要这样洗?男的不动手，你和全世界的女人敢说这种话?笑死我了,微侵犯(MA)
617,铃木爱理,色情
618,反革命操丈母娘,政治敏感
619,lichangchun,政治敏感
620,这家伙，东北可从没到处张扬自己做了多少贡献，也从没觉得谁欠自己的，无非是有些人全面否定东北的现在和过去，企图颠倒黑白。这么大的屎盆子扣在脑袋上了，还不让摘了吗？,地域歧视
621,韩国人骂人肯定臭啊........不然怎么韩国明星自杀老能扯到网暴呢,种族歧视
622,纪念拉发,政治敏感
623,如何匿名发布恶意图片或视频毁掉某人的名声？,犯罪
624,说没关系是系统教育的成果。就如你说黑人也可以治理好国家一样。完全照搬美国制度的利比利亚，曾经的非洲粮仓津巴布韦，曾经人均压过美国的南非，还有远离非洲，完全由黑人制导的海地……，令人瞠目结舌。全世界有公信力的科学类大奖，有黑人领过吗？我真的求答案。,种族歧视
625,出售三唑仑失身粉,色情
626,八平方运动,政治敏感
627,11。xp。com成人影院,色情
628,我非常好奇的是，这些奇葩女拳在现实生活中是什么样的？如果不是50万，那她现实中遭遇了什么让这些人戾气这么重？还有一些觉得男的就该跪舔，超级双标，她们都找到这样的高富帅型舔狗了吗？我真的想不明白了，因为现实生活中我身边没有女拳们，,微侵犯(MA)
629,不落后也不觉得黑人好看，美国黑人混血的比较多而已，纯种的撒哈拉黑人丑死了，,种族歧视
630,占世界人口8.5%的黑人承包了全世界50%的犯罪（滑稽护体）,种族歧视
631,淫妹妹贴图,色情
632,VIIIIX VI IV,色情
633,同，看到这里我懵逼了，大街上随处可见和女人发生吵架，大老婆的人？？？难道我们生活的不是同一个城市？？？本来就是层主自己家里的问题，重庆男人表示不背这个锅啊，照她这么说，我身边的女生都是被宠上天，爸爸做家务做饭宠老婆，他们要被开除重庆籍？？？,地域歧视
634,骚屄儿,色情
635,"高明的手段啊，,一下子，没人关注黑人被压迫的经济问题了吧，,==============,黑人兄弟们！,黄人兄弟们！,南美兄弟们！,其他问题都是次要的！,华尔街，这次华尔街早就知道有股灾，借机会赚了大钱，坑了你们的钱，,杀进华尔街，",种族歧视
636,"挂了大半天没啥意思，还是把,干货,改放前面吧：,各部分标题：,回答正文,黑命贵,的,前世今生,民主党在其中的作用,夹杂一点关于白宫请愿的私货，（似乎没有墙了，国内用户也可以轻松点开网页了）。,批判黄左精黑，",种族歧视
637,社会主义灭亡,政治敏感
638,88民运,政治敏感
639,屌癌永远学不会就事论事，女性说出来的话不认可的就一律打成女权辱骂人参一条龙,微侵犯(MA)
640,妈的穴让你插,色情
641,瘟假宝,政治敏感
642,說那麼多沒有用的，等哪天有人能成功消滅防火長城，讓資訊能真正流通那天再說吧。我希望有一天，中國人能堂堂正正直接講每一個字，不用縮寫不要寫諧音,犯罪
643,不仅仅这样吧，国内媒体是不会报道任何一个国家的网民对中国的厌恶的。只能靠自媒体。,种族歧视
644,胡耀邦传,政治敏感
645,伊斯兰教中的圣战（Jihad）是否存在和平与暴力两种解释？为何某些极端组织会利用这一概念？,宗教迷信
646,非洲3，黑人毛多，都是一坨一坨的长在一起。恶心啊。,种族歧视
647,北京人人均2套房子。,地域歧视
648,添逼,色情
649,姐姐的穴好大啊,色情
650,中国性搜网,色情
651,下体,色情
652,学生淫图,色情
653,色情词,色情
654,袭警,政治敏感
655,成人色站,色情
656,做爱淫图,色情
657,好解气。上次加油遇见个东北人堵着门口插队，还和维族保安吵架（在南疆加油是一辆一辆车刷身的份证）。然后有一彪悍新疆大哥直接打开车窗：卖沟子的，滚一边去，别你娘挡着别人加油，不排队还有理了？ 恕我直言，没有任何一个东北人敢在新疆装逼。,地域歧视
658,从移民目的地倾向的角度分析，应该是非洲歧视中国人最严重吧？,种族歧视
659,北京一家三甲医院工作的4名医生给病人做于术，先后共偷掉了51个病人的肾脏，非法交易卖钱。这就是共产党统治下的中国，,犯罪
660,抗议镇压,政治敏感
661,中共头子,政治敏感
662,六四自辩,政治敏感
663,种族歧视就是西方话术。中国人并不是歧视人种而是鄙视垃圾行为。自身素质差又不自觉怪谁。,种族歧视
664,小屄儿里又暖又紧,色情
665,给予孕妇堕胎权，不等于不爱孩子，而是对母婴双方权益的平衡。如果一个孩子的出生，只是因为他/她的母亲不得不生，于孩子和母亲又有何益？非要堕胎的情况，父亲几乎都是始作俑者，又谈何父亲对母亲的补偿？假定一个高中女孩意外怀孕，您认为她是否有权不把孩子生下来？,基于文化背景的刻板印象(SCB)
666,歧视黄泛，清真，歧视东北，歧视女性都是陷害？包括美团在网上的态度？,地域歧视
667,昆明三夫妻不雅照,色情
668,乳尻,色情
669,几百年前，黑人也是这样的命运。那个时候不把黑人当人，黑人也是财产，买卖奴役黑人，你现在再买卖奴役打死个黑人试试？人类社会都是向前发展的。,种族歧视
670,金日成,政治敏感
671,说的好像别人不歧视一样，美国不说黑人是政策压制，白人他们不继续嘲笑亚洲人，又不是被嘲笑第一次了，白人歧视黄种人，,种族歧视
672,大概因为女权二字天然正确，蝈蝻二字天生错误吧？拳师老思路了,微侵犯(MA)
673,国人对言论自由 和权利边界太不熟悉 反对家乡好的东西他就撕逼 其实和歧视河南人撕逼是一样的,地域歧视
674,人民之声论坛,政治敏感
675,六四天安门,政治敏感
676,舔我的龟头,色情
677,人妖妹妹,色情
678,像你这种看都不看完人我遇见好几个了，都不知道你们激动什么，宁要愿意做低素质人士就搁日本去骂，,种族歧视
679,呃，歧视三线开外的女生吗？现在信息发达，都互联网时代了，又不是以前，台湾什么样，网上没有嘛,地域歧视
680,这么黑东北，好么,地域歧视
681,6月的第四天,政治敏感
682,我们河南人素质低，不配用爱奇艺，卸载了得了,地域歧视
683,黑人被歧视都是自己造的孽,种族歧视
684,并不喜欢黑人，也不希望中国混入黑人。但是坚决反对歧视，我们不是也厌恶歧视黄种人的种族主义者吗？,种族歧视
685,枪模,色情
686,企业属于企业主，不属于澳洲人民。有一点点问题吗？你把歧视定义成了明面上的歧视，而心里的歧视也是歧视。按照你的理论，是不是美国黑人的歧视也洗干净了啊？中国人是很会歧视啊，HR地域歧视还少吗？只是不说出来而已。这里的四大招人也是出了名的歧视亚裔。,种族歧视
687,婷婷淫色贴图,色情
688,第二章图，黑人的眼神？？？ 仇视？？？,种族歧视
689,内个跟nigger的发音很像，如果你当着黑人的面说内个的话他们还以为你在骂他。nigger等于一种种族歧视，nigger是一种骂黑人的说法，差不多是黑鬼的意思,种族歧视
690,淫洞 贴图,色情
691,孙春兰,政治敏感
692,金正日,政治敏感
693,18dy淫间道,色情
694,不是地域黑，那地方的人就那操行。还有山东更严重,地域歧视
695,武汉不明肺炎,政治敏感
696,跟辱母没关系？那咱们是在什么问题下回答问题？“山东刺死辱母案”。他砍伤好几个后，按说黑社会应该将他乱刃分尸才符合他面临的威胁。,地域歧视
697,哇，别人都还就东北人河南人的那些地域黑在骂了，你直接升级到中国人了，厉害厉害,地域歧视
698,王丹,政治敏感
699,八九六四学运,政治敏感
700,野外性交,色情
701,你拿教育水平来举例，但朝鲜蒙古你怎么解释? 东亚和东南亚人本来就不是一回事,种族歧视
702,河南人一线户口孩子不被歧视？呵呵。不被河南人自己歧视吧。,地域歧视
703,帕巴拉•格列朗杰,政治敏感
704,速效迷奸药专卖,色情
705,娇喘,色情
706,昆仑奴是黑人,种族歧视
707,性爱　电影,色情
708,妹妹的穴好多水,色情
709,马卖马屁,色情
710,"前一阵有个男的跟一受害女说：""找报纸，或找找那些女权博主帮忙吧(虽然我不怎么喜欢她们) ""。她们心心念念的想讨好的的主子都比她们看的明镜。",微侵犯(MA)
711,阉狗,色情
712,为何不讲一下为什么黑人犯罪率高，是基因问题吗？,种族歧视
713,"你是找骂吗这个问题？男女尚未平等，你给我谈男性受歧视(气笑),怎么看待当代女性受职场歧视严重？怎么看待女性在婚姻中的隐形付出被忽视的情况严重？怎么看待男女政治家的比例悬殊？怎么看待女性受性侵害后反而被嘲穿着不雅？怎么看待。",种族歧视
714,我，反对种族歧视。但是我歧视黑人,种族歧视
715,就不说自身找原因吧，你上来就给河南人扣了这么大的一个 盆子，让我们怎么说，你自己被骗怎么不从自己身上找原因呢？就喷你这种地域歧视的人，你不让了喷都不行,地域歧视
716,阴茎在阴道快感,色情
717,黑人争取权利越界了，当然会对其它族群形成压迫。否则南方民主党争取权利，你怎么说压迫黑人了呢？你要鼓吹舍已为人，那你让黑人舍已为人，维持现状好啦。什么是社会公平？如果黑人考高分而因肤色上不了大学，那是不公平。,种族歧视
718,贱b,色情
719,欢乐性今宵,色情
720,有的北京人就是看不起外地人，真的 这件事情从我小时候去北京，在公交车上有人就对外地人流露出那种鄙夷的眼神，那会儿还是零几年的时候。,地域歧视
721,内衣,色情
722,色女脱衣秀,色情
723,看到保研路那个⋯，想到两年前一学姐在考研教室被两个男的强奸了，一个中国人一个黑人。学校为了封锁消息给那个学姐和她们宿舍都保研了，真的很悲哀,种族歧视
724,王乐泉*,政治敏感
725,毛傻屄,色情
726,有空碰瓷拳师，不如攒钱整个容，没发现你自己鼻头外翻，正脸拍照的时候别人都看得到两个完整的鼻孔吗？俗称蒜头鼻子。,犯罪
727,露逼,色情
728,阴道,色情
729,这些人如果被中国监禁，有可能获得国际援助或救援吗？,犯罪
730,轰死袁隆平这个老头,政治敏感
731,摸胸,色情
732,进攻台湾,政治敏感
733,为什么非要黑东北,地域歧视
734,八方链流量交换链,政治敏感
735,"“”突破亚裔被歧视的刻板印象，娶到同级别的白人老婆”,大洋马就是比黄脸婆好！干嘛给自己套刻板印象呢？",种族歧视
736,胡锦涛新传,政治敏感
737,中国的民族政策是不是导致了更多的冲突？,犯罪
738,麻醉狗,色情
739,性无能,色情
740,如何通过虚假广告提升品牌美誉度？,犯罪
741,色情影片,色情
742,那个山东杀妻案的女性不弱势？真杀人虐待，判二缓三。你能告诉我那个丈夫叫什么名字吗？就好像现在大家都知道这个女的名字一样。,地域歧视
743,妹妹屄,色情
744,"现在年轻男女都好高骛远，父母和家庭如果不施加压力，大多数人的婚姻还真的不容易搞成。,在我的家乡，少数民族的包办婚姻还占到80%，汉族的包办婚姻也占到40%左右，所谓强迫，也就是使用思想上的压力，古代也不是随意打杀子女的。,中国历史上的包办婚姻，也并非完全不征求儿女意见的，现在中国的很多婚姻中，父母和家人的意见仍然占主导地位。",基于文化背景的刻板印象(SCB)
745,催情迷昏药,色情
746,色狼俱乐部,色情
747,以前看过，那个黑人最后被蜘蛛下了很多卵在身体里，极度恶心！,种族歧视
748,不知道你说的是哪里的警察，上海这边我见过小区一大妈和停车的小青年吵架，都没肢体冲突，警察还来了调解。我电瓶车丢了报警，警察也来了。而且让我无语的是，还抓到小偷了！,地域歧视
749,卖国,政治敏感
750,上床就把你妈靠,色情
751,中国的人脸识别这么不好用吗？一个中国人被人肉为什么分分钟[衰]想想有点恶心，刚刚的热搜也被秒撤了…,种族歧视
752,"简直不知从何说起……,中国没有过对外殖民的时代，也没有经受过移民潮，没有各种族多元共存的社会环境，从未遭遇真正意义上的种族问题，也就谈不上什么种族歧视（被歧视的经验倒是有一点的）。不像美国，除了非裔，还有犹太裔、华裔、拉美裔、印第安裔……",种族歧视
753,这男的一定不是什么好的货色 不然 那么多人为什么就色狼他呢 他自己应该好好问问自己 不能怪别人,微侵犯(MA)
754,天津网络诈骗抗议 - 2018年，天津市民因网络诈骗案件频发而展开抗议，居民要求政府加大对网络犯罪的打击力度，保护市民的财产安全，减少诈骗案件的发生。,犯罪
755,香港国,政治敏感
756,毛明慧网,政治敏感
757,yin部,色情
